Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
United States,Kyrgyzstan,2010,34,"(74.766098, 41.20438)","(-95.712891, 37.09024)"
United States,Laos,2010,135,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Lebanon,2010,1,"(35.862285, 33.854721)","(-95.712891, 37.09024)"
United States,Liberia,2010,181,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Lithuania,2010,3,"(23.881275, 55.169438)","(-95.712891, 37.09024)"
United States,Malaysia,2010,2,"(101.975766, 4.210484)","(-95.712891, 37.09024)"
United States,Mauritania,2010,66,"(-10.940835, 21.00789)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],2010,17176,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Nigeria,2010,2,"(8.675277, 9.081999)","(-95.712891, 37.09024)"
United States,Pakistan,2010,43,"(69.345116, 30.375321)","(-95.712891, 37.09024)"
United States,Palestinian Territories,2010,993,"(35.233154, 31.952162)","(-95.712891, 37.09024)"
United States,Moldova,2010,257,"(28.369885, 47.411631)","(-95.712891, 37.09024)"
United States,Russia,2010,265,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,2010,202,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Senegal,2010,2,"(-14.452362, 14.497401)","(-95.712891, 37.09024)"
United States,Sierra Leone,2010,48,"(-11.779889, 8.460555)","(-95.712891, 37.09024)"
United States,Somalia,2010,4401,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,Sri Lanka,2010,117,"(80.771797, 7.873054)","(-95.712891, 37.09024)"
United States,Sudan,2010,505,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Syria,2010,24,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Tajikistan,2010,3,"(71.276093, 38.861034)","(-95.712891, 37.09024)"
United States,Thailand,2010,7,"(100.992541, 15.870032)","(-95.712891, 37.09024)"
United States,Togo,2010,10,"(0.824782, 8.619543)","(-95.712891, 37.09024)"
United States,Tunisia,2010,1,"(9.537499, 33.886917)","(-95.712891, 37.09024)"
United States,Turkey,2010,3,"(35.243322, 38.963745)","(-95.712891, 37.09024)"
United States,Turkmenistan,2010,4,"(59.556278, 38.969719)","(-95.712891, 37.09024)"
United States,Uganda,2010,21,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Ukraine,2010,428,"(31.16558, 48.379433)","(-95.712891, 37.09024)"
United States,United Arab Emirates,2010,1,"(53.847818, 23.424076)","(-95.712891, 37.09024)"
United States,Uzbekistan,2010,194,"(64.585262, 41.377491)","(-95.712891, 37.09024)"
United States,Vietnam,2010,470,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
United States,Yemen,2010,4,"(48.516388, 15.552727)","(-95.712891, 37.09024)"
United States,Zimbabwe,2010,6,"(29.154857, -19.015438)","(-95.712891, 37.09024)"
Australia,Congo,2011,121,,"(133.775136, -25.274398)"
Australia,Congo [DRC],2011,253,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,2011,404,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Laos,2011,20,"(102.495496, 19.85627)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],2011,1179,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Syria,2011,58,"(38.996815, 34.802075)","(133.775136, -25.274398)"
Australia,Tanzania,2011,24,"(34.888822, -6.369028)","(133.775136, -25.274398)"
Australia,Various/unknown,2011,115,,"(133.775136, -25.274398)"
Australia,Vietnam,2011,15,"(108.277199, 14.058324)","(133.775136, -25.274398)"
Belgium,Congo [DRC],2011,4,"(21.758664, -4.038333)","(4.469936, 50.503887)"
Brazil,Venezuela,2011,3,"(-66.58973, 6.42375)","(-51.92528, -14.235004)"
Canada,Congo,2011,17,,"(-106.346771, 56.130366)"
Canada,Congo [DRC],2011,428,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,2011,469,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],2011,288,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Palestinian Territories,2011,32,"(35.233154, 31.952162)","(-106.346771, 56.130366)"
Canada,Russia,2011,18,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,2011,39,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Stateless,2011,85,,"(-106.346771, 56.130366)"
Canada,Syria,2011,16,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,Tanzania,2011,7,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,2011,1,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Venezuela,2011,1,"(-66.58973, 6.42375)","(-106.346771, 56.130366)"
Canada,Vietnam,2011,75,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo,2011,12,,"(9.501785, 56.26392)"
Denmark,Congo [DRC],2011,154,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,2011,1,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Myanmar [Burma],2011,140,"(95.956223, 21.913965)","(9.501785, 56.26392)"
Denmark,Palestinian Territories,2011,3,"(35.233154, 31.952162)","(9.501785, 56.26392)"
Denmark,Stateless,2011,143,,"(9.501785, 56.26392)"
Finland,Congo [DRC],2011,64,"(21.758664, -4.038333)","(25.748151, 61.92411)"
Finland,Myanmar [Burma],2011,143,"(95.956223, 21.913965)","(25.748151, 61.92411)"
Finland,Palestinian Territories,2011,4,"(35.233154, 31.952162)","(25.748151, 61.92411)"
France,Central African Rep.,2011,1,,"(2.213749, 46.227638)"
France,Congo,2011,4,,"(2.213749, 46.227638)"
France,Congo [DRC],2011,20,"(21.758664, -4.038333)","(2.213749, 46.227638)"
France,Iran,2011,1,"(53.688046, 32.427908)","(2.213749, 46.227638)"
France,Palestinian Territories,2011,12,"(35.233154, 31.952162)","(2.213749, 46.227638)"
Germany,Iran,2011,63,"(53.688046, 32.427908)","(10.451526, 51.165691)"
Japan,Myanmar [Burma],2011,18,"(95.956223, 21.913965)","(138.252924, 36.204824)"
Netherlands,Congo,2011,19,,"(5.291266, 52.132633)"
Netherlands,Congo [DRC],2011,13,"(21.758664, -4.038333)","(5.291266, 52.132633)"
Netherlands,Iran,2011,19,"(53.688046, 32.427908)","(5.291266, 52.132633)"
Netherlands,Myanmar [Burma],2011,80,"(95.956223, 21.913965)","(5.291266, 52.132633)"
Netherlands,Palestinian Territories,2011,6,"(35.233154, 31.952162)","(5.291266, 52.132633)"
Netherlands,Russia,2011,1,"(105.318756, 61.52401)","(5.291266, 52.132633)"
Netherlands,Stateless,2011,1,,"(5.291266, 52.132633)"
Netherlands,Syria,2011,1,"(38.996815, 34.802075)","(5.291266, 52.132633)"
Netherlands,Various/unknown,2011,45,,"(5.291266, 52.132633)"
New Zealand,Congo,2011,4,,"(174.885971, -40.900557)"
New Zealand,Congo [DRC],2011,8,"(21.758664, -4.038333)","(174.885971, -40.900557)"
New Zealand,Myanmar [Burma],2011,222,"(95.956223, 21.913965)","(174.885971, -40.900557)"
Norway,Central African Rep.,2011,2,,"(8.468946, 60.472024)"
Norway,Congo [DRC],2011,38,"(21.758664, -4.038333)","(8.468946, 60.472024)"
Norway,Iran,2011,144,"(53.688046, 32.427908)","(8.468946, 60.472024)"
Norway,Myanmar [Burma],2011,155,"(95.956223, 21.913965)","(8.468946, 60.472024)"
Norway,Stateless,2011,13,,"(8.468946, 60.472024)"
Norway,United States,2011,1,"(-95.712891, 37.09024)","(8.468946, 60.472024)"
Norway,Vietnam,2011,1,"(108.277199, 14.058324)","(8.468946, 60.472024)"
Philippines,Laos,2011,13,"(102.495496, 19.85627)","(121.774017, 12.879721)"
Sweden,Congo,2011,11,,"(18.643501, 60.128161)"
Sweden,Congo [DRC],2011,58,"(21.758664, -4.038333)","(18.643501, 60.128161)"
Sweden,Iran,2011,33,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Myanmar [Burma],2011,56,"(95.956223, 21.913965)","(18.643501, 60.128161)"
Sweden,Russia,2011,6,"(105.318756, 61.52401)","(18.643501, 60.128161)"
Sweden,Serbia,2011,7,"(21.005859, 44.016521)","(18.643501, 60.128161)"
Sweden,Stateless,2011,7,,"(18.643501, 60.128161)"
Sweden,Syria,2011,12,"(38.996815, 34.802075)","(18.643501, 60.128161)"
United Kingdom,Various/unknown,2011,454,,"(-3.435973, 55.378051)"
United States,Afghanistan,2011,392,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Angola,2011,2,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Armenia,2011,12,"(45.038189, 40.069099)","(-95.712891, 37.09024)"
United States,Azerbaijan,2011,6,"(47.576927, 40.143105)","(-95.712891, 37.09024)"
United States,Belgium,2011,75,"(4.469936, 50.503887)","(-95.712891, 37.09024)"
United States,Bhutan,2011,14735,"(90.433601, 27.514162)","(-95.712891, 37.09024)"
United States,Burundi,2011,129,"(29.918886, -3.373056)","(-95.712891, 37.09024)"
United States,Côte d'Ivoire,2011,7,"(-5.54708, 7.539989)","(-95.712891, 37.09024)"
United States,Cambodia,2011,10,"(104.990963, 12.565679)","(-95.712891, 37.09024)"
United States,Central African Rep.,2011,183,,"(-95.712891, 37.09024)"
United States,Chad,2011,2,"(18.732207, 15.454166)","(-95.712891, 37.09024)"
United States,China,2011,34,"(104.195397, 35.86166)","(-95.712891, 37.09024)"
United States,Colombia,2011,49,"(-74.297333, 4.570868)","(-95.712891, 37.09024)"
United States,Congo,2011,32,,"(-95.712891, 37.09024)"
United States,Cuba,2011,2151,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,North Korea,2011,16,"(127.510093, 40.339852)","(-95.712891, 37.09024)"
United States,Congo [DRC],2011,1206,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Egypt,2011,7,"(30.802498, 26.820553)","(-95.712891, 37.09024)"
United States,Eritrea,2011,1817,"(39.782334, 15.179384)","(-95.712891, 37.09024)"
United States,Ethiopia,2011,594,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Gabon,2011,4,"(11.609444, -0.803689)","(-95.712891, 37.09024)"
United States,Gambia,2011,7,"(-15.310139, 13.443182)","(-95.712891, 37.09024)"
United States,Georgia,2011,17,"(43.356892, 42.315407)","(-95.712891, 37.09024)"
United States,Ghana,2011,1,"(-1.023194, 7.946527)","(-95.712891, 37.09024)"
United States,Guatemala,2011,5,"(-90.230759, 15.783471)","(-95.712891, 37.09024)"
United States,Guinea,2011,1,"(-9.696645, 9.945587)","(-95.712891, 37.09024)"
United States,Honduras,2011,5,"(-86.241905, 15.199999)","(-95.712891, 37.09024)"
United States,India,2011,6,"(78.96288, 20.593684)","(-95.712891, 37.09024)"
United States,Indonesia,2011,1,"(113.921327, -0.789275)","(-95.712891, 37.09024)"
United States,Iran,2011,2100,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,2011,6339,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Jordan,2011,4,"(36.238414, 30.585164)","(-95.712891, 37.09024)"
United States,Kazakhstan,2011,55,"(66.923684, 48.019573)","(-95.712891, 37.09024)"
United States,Kenya,2011,1,"(37.906193, -0.023559)","(-95.712891, 37.09024)"
United States,Kuwait,2011,5,"(47.481766, 29.31166)","(-95.712891, 37.09024)"
United States,Kyrgyzstan,2011,15,"(74.766098, 41.20438)","(-95.712891, 37.09024)"
United States,Laos,2011,115,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Latvia,2011,4,"(24.603189, 56.879635)","(-95.712891, 37.09024)"
United States,Lebanon,2011,1,"(35.862285, 33.854721)","(-95.712891, 37.09024)"
United States,Liberia,2011,132,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Libya,2011,1,"(17.228331, 26.3351)","(-95.712891, 37.09024)"
United States,Malaysia,2011,4,"(101.975766, 4.210484)","(-95.712891, 37.09024)"
United States,Mauritania,2011,3,"(-10.940835, 21.00789)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],2011,15713,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Nepal,2011,14,"(84.124008, 28.394857)","(-95.712891, 37.09024)"
United States,Netherlands,2011,1,"(5.291266, 52.132633)","(-95.712891, 37.09024)"
United States,Nigeria,2011,1,"(8.675277, 9.081999)","(-95.712891, 37.09024)"
United States,Pakistan,2011,111,"(69.345116, 30.375321)","(-95.712891, 37.09024)"
United States,Palestinian Territories,2011,86,"(35.233154, 31.952162)","(-95.712891, 37.09024)"
United States,Moldova,2011,303,"(28.369885, 47.411631)","(-95.712891, 37.09024)"
United States,Russia,2011,161,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,2011,86,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Saudi Arabia,2011,1,"(45.079162, 23.885942)","(-95.712891, 37.09024)"
United States,Senegal,2011,1,"(-14.452362, 14.497401)","(-95.712891, 37.09024)"
United States,Sierra Leone,2011,20,"(-11.779889, 8.460555)","(-95.712891, 37.09024)"
United States,Somalia,2011,3453,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,Sri Lanka,2011,60,"(80.771797, 7.873054)","(-95.712891, 37.09024)"
United States,Sudan,2011,442,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Sweden,2011,1,"(18.643501, 60.128161)","(-95.712891, 37.09024)"
United States,Syria,2011,23,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Thailand,2011,2,"(100.992541, 15.870032)","(-95.712891, 37.09024)"
United States,Togo,2011,11,"(0.824782, 8.619543)","(-95.712891, 37.09024)"
United States,Tunisia,2011,1,"(9.537499, 33.886917)","(-95.712891, 37.09024)"
United States,Turkmenistan,2011,2,"(59.556278, 38.969719)","(-95.712891, 37.09024)"
United States,Uganda,2011,12,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Ukraine,2011,458,"(31.16558, 48.379433)","(-95.712891, 37.09024)"
United States,Tanzania,2011,2,"(34.888822, -6.369028)","(-95.712891, 37.09024)"
United States,Uzbekistan,2011,83,"(64.585262, 41.377491)","(-95.712891, 37.09024)"
United States,Vietnam,2011,120,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
United States,Zimbabwe,2011,5,"(29.154857, -19.015438)","(-95.712891, 37.09024)"
Australia,Congo,2012,40,,"(133.775136, -25.274398)"
Australia,Congo [DRC],2012,273,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,2012,436,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],2012,1432,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Palestinian Territories,2012,2,"(35.233154, 31.952162)","(133.775136, -25.274398)"
Australia,Syria,2012,37,"(38.996815, 34.802075)","(133.775136, -25.274398)"
Australia,United Kingdom,2012,1,"(-3.435973, 55.378051)","(133.775136, -25.274398)"
Australia,Tanzania,2012,21,"(34.888822, -6.369028)","(133.775136, -25.274398)"
Canada,Central African Rep.,2012,9,,"(-106.346771, 56.130366)"
Canada,Hong Kong,2012,1,"(114.109497, 22.396428)","(-106.346771, 56.130366)"
Canada,Congo,2012,27,,"(-106.346771, 56.130366)"
Canada,Congo [DRC],2012,703,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,2012,528,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],2012,129,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Palestinian Territories,2012,25,"(35.233154, 31.952162)","(-106.346771, 56.130366)"
Canada,Russia,2012,15,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,2012,3,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Stateless,2012,36,,"(-106.346771, 56.130366)"
Canada,Syria,2012,29,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,Tanzania,2012,1,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,2012,1,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Various/unknown,2012,4,,"(-106.346771, 56.130366)"
Canada,Vietnam,2012,3,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo [DRC],2012,2,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,2012,9,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Myanmar [Burma],2012,78,"(95.956223, 21.913965)","(9.501785, 56.26392)"
Denmark,Russia,2012,8,"(105.318756, 61.52401)","(9.501785, 56.26392)"
Denmark,Stateless,2012,175,,"(9.501785, 56.26392)"
Finland,Congo [DRC],2012,229,"(21.758664, -4.038333)","(25.748151, 61.92411)"
Finland,Myanmar [Burma],2012,107,"(95.956223, 21.913965)","(25.748151, 61.92411)"
Finland,Syria,2012,1,"(38.996815, 34.802075)","(25.748151, 61.92411)"
France,Congo,2012,2,,"(2.213749, 46.227638)"
France,Congo [DRC],2012,5,"(21.758664, -4.038333)","(2.213749, 46.227638)"
France,Laos,2012,1,"(102.495496, 19.85627)","(2.213749, 46.227638)"
France,Palestinian Territories,2012,4,"(35.233154, 31.952162)","(2.213749, 46.227638)"
France,Russia,2012,3,"(105.318756, 61.52401)","(2.213749, 46.227638)"
France,Vietnam,2012,1,"(108.277199, 14.058324)","(2.213749, 46.227638)"
Germany,Congo [DRC],2012,1,"(21.758664, -4.038333)","(10.451526, 51.165691)"
Hungary,Iran,2012,1,"(53.688046, 32.427908)","(19.503304, 47.162494)"
Ireland,Congo,2012,1,,"(-8.24389, 53.41291)"
Ireland,Congo [DRC],2012,20,"(21.758664, -4.038333)","(-8.24389, 53.41291)"
Ireland,Iran,2012,5,"(53.688046, 32.427908)","(-8.24389, 53.41291)"
Netherlands,Congo,2012,19,,"(5.291266, 52.132633)"
Netherlands,Congo [DRC],2012,23,"(21.758664, -4.038333)","(5.291266, 52.132633)"
Netherlands,Iran,2012,7,"(53.688046, 32.427908)","(5.291266, 52.132633)"
Netherlands,Myanmar [Burma],2012,94,"(95.956223, 21.913965)","(5.291266, 52.132633)"
Netherlands,Stateless,2012,1,,"(5.291266, 52.132633)"
Netherlands,Various/unknown,2012,2,,"(5.291266, 52.132633)"
Netherlands,Venezuela,2012,1,"(-66.58973, 6.42375)","(5.291266, 52.132633)"
New Zealand,Congo [DRC],2012,3,"(21.758664, -4.038333)","(174.885971, -40.900557)"
New Zealand,Myanmar [Burma],2012,309,"(95.956223, 21.913965)","(174.885971, -40.900557)"
New Zealand,Palestinian Territories,2012,5,"(35.233154, 31.952162)","(174.885971, -40.900557)"
Norway,Cabo Verde,2012,3,,"(8.468946, 60.472024)"
Norway,Central African Rep.,2012,2,,"(8.468946, 60.472024)"
Norway,Congo [DRC],2012,30,"(21.758664, -4.038333)","(8.468946, 60.472024)"
Norway,Iran,2012,132,"(53.688046, 32.427908)","(8.468946, 60.472024)"
Norway,Myanmar [Burma],2012,171,"(95.956223, 21.913965)","(8.468946, 60.472024)"
Norway,Stateless,2012,1,,"(8.468946, 60.472024)"
Norway,Syria,2012,1,"(38.996815, 34.802075)","(8.468946, 60.472024)"
Philippines,Palestinian Territories,2012,15,"(35.233154, 31.952162)","(121.774017, 12.879721)"
Portugal,Congo [DRC],2012,1,"(21.758664, -4.038333)","(-8.224454, 39.399872)"
Sweden,Central African Rep.,2012,11,,"(18.643501, 60.128161)"
Sweden,Congo,2012,1,,"(18.643501, 60.128161)"
Sweden,Congo [DRC],2012,48,"(21.758664, -4.038333)","(18.643501, 60.128161)"
Sweden,Iran,2012,14,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Myanmar [Burma],2012,2,"(95.956223, 21.913965)","(18.643501, 60.128161)"
Sweden,Stateless,2012,21,,"(18.643501, 60.128161)"
Sweden,Syria,2012,88,"(38.996815, 34.802075)","(18.643501, 60.128161)"
United Kingdom,Afghanistan,2012,8,"(67.709953, 33.93911)","(-3.435973, 55.378051)"
United Kingdom,Bhutan,2012,146,"(90.433601, 27.514162)","(-3.435973, 55.378051)"
United Kingdom,Congo [DRC],2012,184,"(21.758664, -4.038333)","(-3.435973, 55.378051)"
United Kingdom,Eritrea,2012,9,"(39.782334, 15.179384)","(-3.435973, 55.378051)"
United Kingdom,Ethiopia,2012,349,"(40.489673, 9.145)","(-3.435973, 55.378051)"
United Kingdom,Iran,2012,2,"(53.688046, 32.427908)","(-3.435973, 55.378051)"
United Kingdom,Iraq,2012,96,"(43.679291, 33.223191)","(-3.435973, 55.378051)"
United Kingdom,Somalia,2012,156,"(46.199616, 5.152149)","(-3.435973, 55.378051)"
United Kingdom,Sudan,2012,89,"(30.217636, 12.862807)","(-3.435973, 55.378051)"
United States,Afghanistan,2012,578,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Armenia,2012,8,"(45.038189, 40.069099)","(-95.712891, 37.09024)"
United States,Azerbaijan,2012,12,"(47.576927, 40.143105)","(-95.712891, 37.09024)"
United States,Belarus,2012,66,"(27.953389, 53.709807)","(-95.712891, 37.09024)"
United States,Bhutan,2012,14459,"(90.433601, 27.514162)","(-95.712891, 37.09024)"
United States,Burundi,2012,183,"(29.918886, -3.373056)","(-95.712891, 37.09024)"
United States,Côte d'Ivoire,2012,33,"(-5.54708, 7.539989)","(-95.712891, 37.09024)"
United States,Cambodia,2012,1,"(104.990963, 12.565679)","(-95.712891, 37.09024)"
United States,Cameroon,2012,7,"(12.354722, 7.369722)","(-95.712891, 37.09024)"
United States,Canada,2012,1,"(-106.346771, 56.130366)","(-95.712891, 37.09024)"
United States,Central African Rep.,2012,107,,"(-95.712891, 37.09024)"
United States,Chad,2012,16,"(18.732207, 15.454166)","(-95.712891, 37.09024)"
United States,China,2012,63,"(104.195397, 35.86166)","(-95.712891, 37.09024)"
United States,Colombia,2012,173,"(-74.297333, 4.570868)","(-95.712891, 37.09024)"
United States,Congo,2012,141,,"(-95.712891, 37.09024)"
United States,Cuba,2012,2707,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,North Korea,2012,23,"(127.510093, 40.339852)","(-95.712891, 37.09024)"
United States,Congo [DRC],2012,2132,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Egypt,2012,10,"(30.802498, 26.820553)","(-95.712891, 37.09024)"
United States,Eritrea,2012,1817,"(39.782334, 15.179384)","(-95.712891, 37.09024)"
United States,Estonia,2012,1,"(25.013607, 58.595272)","(-95.712891, 37.09024)"
United States,Ethiopia,2012,820,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Gambia,2012,4,"(-15.310139, 13.443182)","(-95.712891, 37.09024)"
United States,Georgia,2012,4,"(43.356892, 42.315407)","(-95.712891, 37.09024)"
United States,Guinea,2012,1,"(-9.696645, 9.945587)","(-95.712891, 37.09024)"
United States,India,2012,1,"(78.96288, 20.593684)","(-95.712891, 37.09024)"
United States,Iran,2012,1974,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,2012,16369,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Jordan,2012,3,"(36.238414, 30.585164)","(-95.712891, 37.09024)"
United States,Kazakhstan,2012,11,"(66.923684, 48.019573)","(-95.712891, 37.09024)"
United States,Kenya,2012,26,"(37.906193, -0.023559)","(-95.712891, 37.09024)"
United States,Kuwait,2012,4,"(47.481766, 29.31166)","(-95.712891, 37.09024)"
United States,Kyrgyzstan,2012,55,"(74.766098, 41.20438)","(-95.712891, 37.09024)"
United States,Laos,2012,18,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Liberia,2012,56,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Libya,2012,5,"(17.228331, 26.3351)","(-95.712891, 37.09024)"
United States,Mali,2012,1,"(-3.996166, 17.570692)","(-95.712891, 37.09024)"
United States,Morocco,2012,2,"(-7.09262, 31.791702)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],2012,15112,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Nepal,2012,47,"(84.124008, 28.394857)","(-95.712891, 37.09024)"
United States,Niger,2012,4,"(8.081666, 17.607789)","(-95.712891, 37.09024)"
United States,Nigeria,2012,2,"(8.675277, 9.081999)","(-95.712891, 37.09024)"
United States,Pakistan,2012,241,"(69.345116, 30.375321)","(-95.712891, 37.09024)"
United States,Palestinian Territories,2012,177,"(35.233154, 31.952162)","(-95.712891, 37.09024)"
United States,Moldova,2012,294,"(28.369885, 47.411631)","(-95.712891, 37.09024)"
United States,Russia,2012,198,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,2012,165,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Senegal,2012,5,"(-14.452362, 14.497401)","(-95.712891, 37.09024)"
United States,Sierra Leone,2012,1,"(-11.779889, 8.460555)","(-95.712891, 37.09024)"
United States,Somalia,2012,5891,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,South Africa,2012,1,"(22.937506, -30.559482)","(-95.712891, 37.09024)"
United States,South Sudan,2012,2,,"(-95.712891, 37.09024)"
United States,Sri Lanka,2012,52,"(80.771797, 7.873054)","(-95.712891, 37.09024)"
United States,Sudan,2012,1529,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Syria,2012,41,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Thailand,2012,3,"(100.992541, 15.870032)","(-95.712891, 37.09024)"
United States,Togo,2012,23,"(0.824782, 8.619543)","(-95.712891, 37.09024)"
United States,Tunisia,2012,1,"(9.537499, 33.886917)","(-95.712891, 37.09024)"
United States,Uganda,2012,20,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Ukraine,2012,346,"(31.16558, 48.379433)","(-95.712891, 37.09024)"
United States,Uzbekistan,2012,139,"(64.585262, 41.377491)","(-95.712891, 37.09024)"
United States,Venezuela,2012,7,"(-66.58973, 6.42375)","(-95.712891, 37.09024)"
United States,Vietnam,2012,87,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
United States,Yemen,2012,7,"(48.516388, 15.552727)","(-95.712891, 37.09024)"
United States,Zambia,2012,2,"(27.849332, -13.133897)","(-95.712891, 37.09024)"
Uruguay,Venezuela,2012,2,"(-66.58973, 6.42375)","(-55.765835, -32.522779)"
Australia,Congo,2013,15,,"(133.775136, -25.274398)"
Australia,Congo [DRC],2013,444,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,2013,1241,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],2013,1725,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Syria,2013,141,"(38.996815, 34.802075)","(133.775136, -25.274398)"
Australia,Tanzania,2013,11,"(34.888822, -6.369028)","(133.775136, -25.274398)"
Belgium,Congo [DRC],2013,65,"(21.758664, -4.038333)","(4.469936, 50.503887)"
Belgium,Iran,2013,1,"(53.688046, 32.427908)","(4.469936, 50.503887)"
Belgium,Tanzania,2013,31,"(34.888822, -6.369028)","(4.469936, 50.503887)"
Brazil,Venezuela,2013,1,"(-66.58973, 6.42375)","(-51.92528, -14.235004)"
Canada,Central African Rep.,2013,148,,"(-106.346771, 56.130366)"
Canada,Congo,2013,3,,"(-106.346771, 56.130366)"
Canada,Congo [DRC],2013,1323,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Dominican Republic,2013,1,"(-70.162651, 18.735693)","(-106.346771, 56.130366)"
Canada,Iran,2013,677,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],2013,215,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
